date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Nov%202020%2017:31:51%20GMT	http://localhost/marketnow/?p=147	/home/miguel/websites/MrRobot%20/localhost/marketnow/index2fa7.html	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:31:54	2571/2571	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:31:50%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fque-es-el-marketing-digital%2F	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embedff47.json	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:31:55	2691/2691	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Nov%202020%2017:31:52%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fque-es-el-marketing-digital%2F&format=xml	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embedf9de	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:32:00	9214/9214	---MC-	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:31:56%20GMT	http://localhost/marketnow/index.php/wp-json/wp/v2/pages/153	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/wp/v2/pages/153.json	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:02	2605/2605	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:31:58%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fnuevas-tendencias-en-el-marketing-digital%2F	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embeddd38.json	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Nov%202020%2017:32:02%20GMT	http://localhost/marketnow/?p=153	/home/miguel/websites/MrRobot%20/localhost/marketnow/indexd7d8.html	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:04	2725/2725	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Nov%202020%2017:32:00%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fnuevas-tendencias-en-el-marketing-digital%2F&format=xml	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embed57ab	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:04	145572/145572	---M--	200	added ('OK')	image/jpeg	etag:%22238a4-5b3ac0e472a80%22	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-negative-space-34639-scaled-e1604926437274-1200x669.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-negative-space-34639-scaled-e1604926437274-1200x669.jpg	(from http://localhost/marketnow/index.php/que-es-le-marketing/)
13:32:09	85721/85721	---M--	200	added ('OK')	image/jpeg	etag:%2214ed9-5b3ac1e1270ac%22	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-267350-scaled-e1604926702101-1200x669.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-267350-scaled-e1604926702101-1200x669.jpg	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:32:12	34499/34499	---M--	200	added ('OK')	image/jpeg	etag:%2286c3-5b3ac58ad4f37%22	http://localhost/marketnow/wp-content/uploads/2020/11/descarga-4-e1604927687687.jpeg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/descarga-4-e1604927687687.jpg	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
